# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	h_solver                	h_initial               	h_final                 	h_iters                 	h_converged             	nuTilda_solver          	nuTilda_initial         	nuTilda_final           	nuTilda_iters           	nuTilda_converged       	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
35                      	DILUPBiCGStab	1.5270289187430992e-05	1.7335299118509341e-08	1	6.7764651317671820e-04	3.6334039277381602e-06	1	9.7320149046372974e-06	3.9290212623511578e-08	1	false	DILUPBiCGStab	7.8378118343513890e-05	4.8210545281116903e-07	1	true	DILUPBiCGStab	6.3994098206786722e-05	1.9664673676305799e-07	1	true	GAMG	6.3752950523975468e-03	6.3213670352246307e-05	8	true
36                      	DILUPBiCGStab	1.2942726211951801e-05	1.4468258016843060e-08	1	6.9168478400963393e-04	4.1043383443421251e-06	1	9.2847922296461118e-06	3.9734337211059218e-08	1	false	DILUPBiCGStab	7.3621164498069875e-05	4.4665489523847748e-07	1	true	DILUPBiCGStab	3.9737548678806568e-05	2.0013452338776229e-07	1	true	GAMG	5.3878166625125181e-03	4.6733696860905157e-05	9	true
37                      	DILUPBiCGStab	9.3147153952290919e-06	1.7559659470042932e-08	1	6.3982765846937119e-04	3.7447964992597251e-06	1	8.7195980634623713e-06	3.9633883377629557e-08	1	false	DILUPBiCGStab	7.1022280448050822e-05	4.1800097588405972e-07	1	true	DILUPBiCGStab	4.3258807651180308e-05	1.9220123263344521e-07	1	true	GAMG	5.1607458243829009e-03	4.4127102214842167e-05	9	true
38                      	DILUPBiCGStab	7.4401354005034279e-06	2.8153233709726679e-08	1	5.5509989183429292e-04	3.4189932336283152e-06	1	8.2548284207252164e-06	3.9489614425207721e-08	1	false	DILUPBiCGStab	6.9688786358986215e-05	3.9361917127010421e-07	1	true	DILUPBiCGStab	3.8526831937178872e-05	1.9495726298765761e-07	1	true	GAMG	4.9768548214661279e-03	4.9178873205607853e-05	8	true
39                      	DILUPBiCGStab	1.0024549501065611e-05	2.6751241349890470e-08	1	5.1882778693538927e-04	3.1880019395896689e-06	1	8.0797231898922722e-06	3.9744177083165667e-08	1	false	DILUPBiCGStab	6.7070609378737839e-05	3.7074915751452118e-07	1	true	DILUPBiCGStab	4.7956828161596171e-05	1.6167562796756671e-07	1	true	GAMG	4.4059000713171353e-03	3.5686023932270767e-05	9	true
40                      	DILUPBiCGStab	1.1198680227997731e-05	1.9103243727876819e-08	1	5.2207643092943624e-04	2.7396754527125979e-06	1	8.0698758166382088e-06	4.0171093093578237e-08	1	false	DILUPBiCGStab	6.4815512597185329e-05	3.5495047562623440e-07	1	true	DILUPBiCGStab	2.9286608095063419e-05	1.7818307148273479e-07	1	true	GAMG	3.6514385851368078e-03	3.5339529094672102e-05	8	true
41                      	DILUPBiCGStab	9.8432028391916614e-06	1.5488970868373990e-08	1	5.2760261189352235e-04	2.7467632680137171e-06	1	8.1899077721902563e-06	4.1447745664419509e-08	1	false	DILUPBiCGStab	6.4738866292681459e-05	3.4828625279999060e-07	1	true	DILUPBiCGStab	2.9890034606221629e-05	1.6994747022057229e-07	1	true	GAMG	3.1399983160015558e-03	2.6511708429282041e-05	9	true
42                      	DILUPBiCGStab	7.1493348420061760e-06	1.6775508098870370e-08	1	5.2246565204315748e-04	2.5587273509502262e-06	1	8.2901715664261662e-06	4.3766626156311729e-08	1	false	DILUPBiCGStab	6.5731433449122756e-05	3.4737206407911843e-07	1	true	DILUPBiCGStab	3.3391525166576241e-05	1.5852717033772981e-07	1	true	GAMG	3.0769827519133638e-03	2.5073831229140741e-05	9	true
43                      	DILUPBiCGStab	5.0590494610545666e-06	2.4492216744717519e-08	1	5.1956043578753168e-04	2.5900012841708150e-06	1	8.2882888472908641e-06	4.6601940806496343e-08	1	false	DILUPBiCGStab	6.5815483061667929e-05	3.4748246691444638e-07	1	true	DILUPBiCGStab	2.8220948393237100e-05	1.4795262099167949e-07	1	true	GAMG	3.1720095672167050e-03	2.5186531135670970e-05	9	true
44                      	DILUPBiCGStab	5.9376644122491869e-06	2.7904971121178269e-08	1	5.1767204203981775e-04	2.6000319826857988e-06	1	8.1542464990611499e-06	4.9034518108627602e-08	1	false	DILUPBiCGStab	6.4743403874903817e-05	3.4641551396145019e-07	1	true	DILUPBiCGStab	2.8683279786568699e-05	1.4351824811148730e-07	1	true	GAMG	2.9805920002775252e-03	2.2728210365806480e-05	9	true
45                      	DILUPBiCGStab	7.6193780337725437e-06	2.3129899088498201e-08	1	5.0503140038674424e-04	2.3562778891548189e-06	1	7.8835251908079035e-06	5.0307113398529109e-08	1	false	DILUPBiCGStab	6.2777849825843267e-05	3.4382779529130879e-07	1	true	DILUPBiCGStab	2.4421756127490500e-05	1.3673645847190141e-07	1	true	GAMG	2.5507538344651899e-03	2.2138239959702750e-05	8	true
46                      	DILUPBiCGStab	7.3154439341106977e-06	1.9186011278700998e-08	1	4.8029956812361890e-04	2.0927744715127869e-06	1	7.5368939819888473e-06	5.0587036402338327e-08	1	false	DILUPBiCGStab	6.0469297254582609e-05	3.4116606632186929e-07	1	true	DILUPBiCGStab	2.7728402652811449e-05	1.2546867558959659e-07	1	true	GAMG	2.1638837194883900e-03	1.8840048618402401e-05	9	true
47                      	DILUPBiCGStab	5.7781659693589147e-06	1.9870843291352351e-08	1	4.5184819205936378e-04	1.9362033101432991e-06	1	7.2041686585970803e-06	5.0175392808912518e-08	1	false	DILUPBiCGStab	5.8411826403506303e-05	3.3922833170058331e-07	1	true	DILUPBiCGStab	2.2602898491283309e-05	1.1745069611511080e-07	1	true	GAMG	2.0125039863527270e-03	1.7681822776436550e-05	9	true
48                      	DILUPBiCGStab	4.3154733423725332e-06	2.3779037103259682e-08	1	4.3629644246521391e-04	2.0716607604399031e-06	1	6.9740157434279089e-06	4.9132367050384743e-08	1	false	DILUPBiCGStab	5.7320135380108050e-05	3.3894645385786390e-07	1	true	DILUPBiCGStab	2.3218688875484891e-05	1.1318835723740930e-07	1	true	GAMG	2.0208583952341630e-03	1.6725753956080911e-05	9	true
49                      	DILUPBiCGStab	4.5141786378381758e-06	2.4904834612088650e-08	1	4.3646632115513020e-04	2.3156855447901019e-06	1	6.8934391201374908e-06	4.7838411499670443e-08	1	false	DILUPBiCGStab	5.6755829261190187e-05	3.3934515084790990e-07	1	true	DILUPBiCGStab	2.1497899565211381e-05	1.0686721968671290e-07	1	true	GAMG	1.9248113454753829e-03	1.8700123487763249e-05	8	true
