# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
37                      	2.8399398712919244e-02	1.6912751806692446e-02	1.1486646906226798e-02	2.4449307822726611e-04	-3.7342854780543478e-04	6.1792162603270084e-04	-4.9567508691906786e-04	2.7130524502328242e-03	-6.3009408580747429e-03	1.9710186315760667e-01	9.2249990720728578e-02	1.0485187243687807e-01
38                      	2.8404864550928513e-02	1.6878732273439039e-02	1.1526132277489472e-02	3.5694693829419003e-04	-3.4482323815039346e-04	7.0177017644458355e-04	-5.2329670729748851e-04	2.6762999979747844e-03	-6.3158028093771986e-03	1.9721063303990291e-01	9.2289513710574270e-02	1.0492111932932865e-01
39                      	2.8810956396537975e-02	1.7050862532712412e-02	1.1760093863825566e-02	4.5099217642251033e-04	-3.1143719352406030e-04	7.6242936994657057e-04	-5.3693328173531549e-04	2.6453843344434241e-03	-6.3023689849484709e-03	1.9740719039451191e-01	9.2401226212307466e-02	1.0500596418220443e-01
40                      	2.9376409922033119e-02	1.7316628860054514e-02	1.2059781061978605e-02	5.0558746578477072e-04	-2.8284125078577202e-04	7.8842871657054279e-04	-5.3563498367815738e-04	2.6284238990379538e-03	-6.2746822408768898e-03	1.9760361838707718e-01	9.2527126952661701e-02	1.0507649143441547e-01
41                      	2.9867092383900964e-02	1.7562147856118843e-02	1.2304944527782124e-02	5.1262943196949751e-04	-2.6788146581396794e-04	7.8051089778346551e-04	-5.2419618179871670e-04	2.6286016641683591e-03	-6.2481442382662268e-03	1.9773625969766651e-01	9.2619985610567029e-02	1.0511627408709949e-01
42                      	3.0134520853430744e-02	1.7707278768635874e-02	1.2427242084794871e-02	4.8944879493260387e-04	-2.6266179386478866e-04	7.5211058879739263e-04	-5.0738619133109059e-04	2.6400183419205015e-03	-6.2338841944457974e-03	1.9778157072800331e-01	9.2656901169555855e-02	1.0512466955844744e-01
43                      	3.0145007999572287e-02	1.7727627594848812e-02	1.2417380404723474e-02	4.5533426595363872e-04	-2.6178356606886975e-04	7.1711783202250848e-04	-4.8945069904568917e-04	2.6551235950626698e-03	-6.2359619521941559e-03	1.9775451051473411e-01	9.2641293305172887e-02	1.0511321720956121e-01
44                      	2.9963048954777017e-02	1.7648849367430781e-02	1.2314199587346237e-02	4.2701230870241741e-04	-2.5978098457057566e-04	6.8679329327299302e-04	-4.7328713892178437e-04	2.6673248900422712e-03	-6.2517761353517434e-03	1.9769149585107859e-01	9.2593971790187551e-02	1.0509752406089105e-01
45                      	2.9703549504636533e-02	1.7525151954002435e-02	1.2178397550634098e-02	4.1022229433480676e-04	-2.5522378984649946e-04	6.6544608418130622e-04	-4.6033493701390284e-04	2.6733772016841687e-03	-6.2743453250578259e-03	1.9763197687607226e-01	9.2541643112978300e-02	1.0509033376309396e-01
46                      	2.9478447146797343e-02	1.7414854429391686e-02	1.2063592717405657e-02	3.9810666104411188e-04	-2.4961809609962837e-04	6.4772475714374020e-04	-4.4867142662168431e-04	2.6756308559930135e-03	-6.2961071644664843e-03	1.9760323085790710e-01	9.2505508264487057e-02	1.0509772259342004e-01
